ordinal{string},comment{string},originator{string},norad_cat_id{string},object_name{string},object_type{string},classification_type{string},intldes{string},epoch{timestamp},epoch_microseconds{integer},mean_motion{decimal},eccentricity{decimal},inclination{decimal},ra_of_asc_node{decimal},arg_of_pericenter{decimal},mean_anomaly{decimal},ephemeris_type{string},element_set_no{string},rev_at_epoch{integer},bstar{decimal},mean_motion_dot{decimal},mean_motion_ddot{string},file{string},tle_line0{string},tle_line1{string},tle_line2{string},object_id{string},object_number{string},semimajor_axis{decimal},period{decimal},apogee{decimal},perigee{decimal}
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,43046,LEMUR 2 KEVIN,PAYLOAD,U,17071K,2019-02-21T18:38:40Z,974432,15.4201147299999999,0.000436799999999999992,51.6381000000000014,260.760299999999972,83.9646000000000043,276.183800000000019,0,999,6812,0.000120520000000000005,4.81499999999999981e-05,0,2414110,0 LEMUR 2 KEVIN,1 43046U 17071K   19052.77686313  .00004815  00000-0  12052-3 0  9992,2 43046  51.6381 260.7603 0004368  83.9646 276.1838 15.42011473 68124,2017-071K,43046,6818.3100000000004,93.3840000000000003,443.15300000000002,437.197000000000003
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,3605,OPS 7684,PAYLOAD,U,68112B,2019-02-21T18:39:10Z,512864,12.6042470899999994,0.00544440000000000028,80.3632999999999953,158.599400000000003,31.031600000000001,124.271199999999993,0,999,30735,0.000262210000000000026,5.19999999999999998e-07,0,2414564,0 OPS 7684,1  3605U 68112B   19052.77720501 +.00000052 +00000-0 +26221-3 0  9991,2  3605 080.3633 158.5994 0054444 031.0316 124.2712 12.60424709307357,1968-112B,3605,7799.32800000000043,114.247,1463.65599999999995,1378.73099999999999
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,25634,ARGOS,PAYLOAD,U,99008A,2019-02-21T18:39:12Z,625344,14.1934768499999997,0.000939300000000000009,98.5315999999999974,106.107200000000006,228.430200000000013,131.606999999999999,0,999,3515,1.27380000000000007e-05,-1.49999999999999993e-07,0,2414564,0 ARGOS,1 25634U 99008A   19052.77722946 -.00000015 +00000-0 +12738-4 0  9999,2 25634 098.5316 106.1072 0009393 228.4302 131.6070 14.19347685035156,1999-008A,25634,7205.69599999999991,101.454999999999998,834.330000000000041,820.793000000000006
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,43559,LEMUR 2 ALEXANDER,PAYLOAD,U,18046F,2019-02-21T18:39:12Z,691872,15.2880442900000002,0.000793199999999999981,51.6417000000000002,256.869799999999998,19.623899999999999,340.504500000000007,0,999,3345,9.28310000000000062e-05,2.27999999999999985e-05,0,2414564,0 LEMUR 2 ALEXANDER,1 43559U 18046F   19052.77723023 +.00002280 +00000-0 +92831-4 0  9992,2 43559 051.6417 256.8698 0007932 019.6239 340.5045 15.28804429033456,2018-046F,43559,6857.52199999999993,94.1910000000000025,484.826000000000022,473.947000000000003
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,7663,COSMOS 708,PAYLOAD,U,75012A,2019-02-21T18:39:50Z,668992,12.6826632799999999,0.00236900000000000001,69.2318000000000069,141.633800000000008,71.3966999999999956,37.0838999999999999,0,999,3866,-2.6819999999999999e-06,-4.20000000000000002e-07,0,2414564,0 COSMOS 708,1  7663U 75012A   19052.77766978 -.00000042 +00000-0 -26820-5 0  9992,2  7663 069.2318 141.6338 0023690 071.3967 037.0839 12.68266328038669,1975-012A,7663,7767.14699999999993,113.540000000000006,1407.41200000000003,1370.6110000000001
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,16454,COSMOS 1721,PAYLOAD,U,86002F,2019-02-21T18:40:24Z,182688,12.5234005699999997,0.00369570000000000011,73.9890000000000043,175.362500000000011,270.893700000000024,241.541200000000003,0,999,51413,-2.70879999999999988e-05,-2.10000000000000001e-07,0,2414564,0 COSMOS 1721,1 16454U 86002F   19052.77805767 -.00000021 +00000-0 -27088-4 0  9994,2 16454 073.9890 175.3625 0036957 270.8937 241.5412 12.52340057514135,1986-002F,16454,7832.85900000000038,114.983999999999995,1483.67200000000003,1425.77600000000007
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,43558,LEMUR 2 VU,PAYLOAD,U,18046E,2019-02-21T18:41:31Z,45056,15.2875855299999994,0.000796199999999999946,51.6413999999999973,256.880400000000009,19.4087999999999994,340.719400000000007,0,999,3367,6.68260000000000002e-05,1.53799999999999984e-05,0,2414107,0 LEMUR 2 VU,1 43558U 18046E   19052.77883154  .00001538  00000-0  66826-4 0  9993,2 43558  51.6414 256.8804 0007962  19.4088 340.7194 15.28758553 33671,2018-046E,43558,6857.65899999999965,94.1940000000000026,484.98399999999998,474.064000000000021
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,26451,INTELSAT 9 (PAS 9),PAYLOAD,U,00043A,2019-02-21T18:41:54Z,201120,1.00272047000000009,0.000337200000000000011,4.7336999999999998,68.3015000000000043,268.525800000000004,161.162200000000013,0,999,6805,0,-2.80000000000000019e-07,0,2414088,0 INTELSAT 9 (PAS 9),1 26451U 00043A   19052.77909955 -.00000028  00000-0  00000+0 0  9993,2 26451   4.7337  68.3015 0003372 268.5258 161.1622  1.00272047 68059,2000-043A,26451,42164.6580000000031,1436.09300000000007,35800.7410000000018,35772.3050000000003
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,13067,COSMOS 1340,PAYLOAD,U,82013A,2019-02-21T18:42:06Z,583104,15.2027691100000002,0.000215500000000000007,81.1876000000000033,137.272099999999995,255.011799999999994,105.087400000000002,0,999,2089,3.19529999999999971e-05,7.18999999999999977e-06,0,2414564,0 COSMOS 1340,1 13067U 82013A   19052.77924286 +.00000719 +00000-0 +31953-4 0  9995,2 13067 081.1876 137.2721 0002155 255.0118 105.0874 15.20276911020896,1982-013A,13067,6883.14099999999962,94.7189999999999941,506.488999999999976,503.523000000000025
1,GENERATED VIA SPACETRACK.ORG API,JSPOC,42846,CORVUS BC2,PAYLOAD,U,17042X,2019-02-21T18:42:29Z,931840,14.9192370400000005,0.00111969999999999995,97.5792000000000002,311.350500000000011,85.4034000000000049,274.846400000000017,0,999,8758,2.33639999999999986e-05,1.83000000000000005e-06,0,2414046,0 CORVUS BC2,1 42846U 17042X   19052.77951310  .00000183  00000-0  23364-4 0  9992,2 42846  97.5792 311.3505 0011197  85.4034 274.8464 14.91923704 87589,2017-042X,42846,6970.07399999999961,96.5190000000000055,599.744000000000028,584.134999999999991
